episode,reward
0,-0.2
100,-0.24
200,-0.32
300,-0.12
400,-0.08
500,0.16
600,-0.04
700,0.0
800,-0.24
900,-0.08
1000,-0.16
1100,-0.12
1200,-0.16
1300,-0.2
1400,0.08
1500,-0.28
1600,-0.48
1700,-0.24
1800,-0.2
1900,-0.16
2000,-0.12
2100,-0.2
2200,-0.12
2300,-0.48
2400,-0.32
2500,-0.2
2600,-0.48
2700,0.0
2800,0.04
2900,-0.24
3000,-0.2
3100,-0.32
3200,-0.12
3300,0.2
3400,0.28
3500,0.12
3600,0.0
3700,-0.28
3800,-0.2
3900,-0.28
4000,-0.16
4100,0.0
4200,-0.08
4300,0.04
4400,0.12
4500,-0.44
4600,-0.04
4700,0.0
4800,0.0
4900,-0.2
5000,-0.2
5100,-0.2
5200,-0.2
5300,-0.24
5400,-0.12
5500,0.4
5600,-0.04
5700,-0.2
5800,-0.12
5900,-0.4
6000,0.08
6100,-0.28
6200,-0.12
6300,-0.08
6400,-0.44
6500,-0.2
6600,-0.08
6700,-0.12
6800,-0.2
6900,-0.32
7000,-0.36
7100,0.0
7200,-0.56
7300,0.16
7400,-0.28
7500,-0.6
7600,0.16
7700,-0.28
7800,-0.2
7900,-0.2
8000,-0.16
8100,0.0
8200,-0.2
8300,-0.48
8400,-0.28
8500,0.24
8600,-0.04
8700,0.0
8800,-0.2
8900,-0.24
9000,-0.24
9100,-0.28
9200,-0.44
9300,0.12
9400,0.04
9500,-0.36
9600,-0.04
9700,-0.52
9800,-0.36
9900,0.0
