episode,reward
0,-0.4
100,-0.4
200,0.16
300,0.04
400,-0.32
500,-0.36
600,0.0
700,-0.04
800,0.12
900,0.16
1000,-0.24
1100,-0.2
1200,0.04
1300,0.04
1400,0.12
1500,-0.52
1600,0.0
1700,-0.04
1800,0.08
1900,-0.12
2000,-0.08
2100,-0.08
2200,-0.36
2300,0.36
2400,-0.2
2500,-0.16
2600,0.08
2700,-0.2
2800,-0.2
2900,0.2
3000,-0.2
3100,0.08
3200,-0.28
3300,0.08
3400,0.24
3500,0.0
3600,-0.24
3700,0.08
3800,-0.08
3900,-0.32
4000,0.04
4100,-0.16
4200,0.48
4300,0.0
4400,-0.32
4500,-0.28
4600,-0.28
4700,0.0
4800,0.12
4900,-0.28
5000,0.12
5100,0.32
5200,-0.24
5300,-0.28
5400,-0.36
5500,0.04
5600,-0.16
5700,0.04
5800,-0.28
5900,0.16
6000,0.08
6100,0.04
6200,0.04
6300,-0.36
6400,-0.12
6500,0.0
6600,0.12
6700,-0.16
6800,0.0
6900,0.2
7000,-0.04
7100,-0.32
7200,-0.04
7300,-0.04
7400,-0.04
7500,0.0
7600,0.16
7700,-0.24
7800,0.2
7900,-0.08
8000,-0.12
8100,-0.12
8200,-0.04
8300,0.16
8400,-0.12
8500,-0.16
8600,-0.2
8700,0.24
8800,0.2
8900,-0.16
9000,-0.08
9100,0.32
9200,-0.04
9300,0.36
9400,0.04
9500,-0.08
9600,-0.4
9700,-0.16
9800,-0.48
9900,-0.2
10000,-0.08
10100,0.2
10200,-0.2
10300,-0.44
10400,0.16
10500,-0.16
10600,0.12
10700,0.0
10800,-0.16
10900,-0.08
11000,0.52
11100,0.04
11200,0.0
11300,0.08
11400,-0.08
11500,-0.16
11600,-0.2
11700,-0.16
11800,-0.2
11900,0.08
12000,-0.44
12100,-0.2
12200,-0.16
12300,-0.16
12400,0.12
12500,-0.16
12600,-0.32
12700,-0.08
12800,0.2
12900,0.04
13000,-0.44
13100,0.04
13200,0.08
13300,-0.08
13400,-0.12
13500,-0.24
13600,-0.44
13700,-0.56
13800,-0.32
13900,-0.32
14000,0.16
14100,0.12
14200,0.04
14300,0.08
14400,-0.12
14500,-0.04
14600,-0.04
14700,-0.08
14800,0.08
14900,-0.04
15000,-0.12
15100,0.0
15200,-0.12
15300,-0.2
15400,-0.16
15500,-0.16
15600,0.12
15700,-0.04
15800,0.16
15900,0.08
16000,0.0
16100,0.28
16200,-0.04
16300,-0.2
16400,-0.28
16500,-0.52
16600,0.08
16700,-0.28
16800,-0.04
16900,0.4
17000,-0.08
17100,0.08
17200,0.4
17300,0.24
17400,-0.24
17500,-0.16
17600,-0.2
17700,-0.04
17800,0.28
17900,-0.08
18000,0.0
18100,0.0
18200,-0.04
18300,-0.2
18400,-0.12
18500,-0.04
18600,-0.2
18700,0.04
18800,0.04
18900,0.2
19000,-0.04
19100,-0.28
19200,0.04
19300,-0.12
19400,-0.12
19500,0.36
19600,0.08
19700,-0.04
19800,-0.12
19900,-0.32
20000,-0.48
20100,0.04
20200,-0.08
20300,-0.08
20400,-0.04
20500,-0.16
20600,-0.04
20700,0.0
20800,0.24
20900,-0.4
21000,-0.04
21100,0.04
21200,-0.2
21300,-0.2
21400,0.2
21500,-0.12
21600,0.04
21700,0.24
21800,-0.28
21900,-0.12
22000,0.32
22100,-0.08
22200,-0.04
22300,-0.2
22400,0.08
22500,-0.24
22600,0.12
22700,0.08
22800,0.16
22900,0.0
23000,0.16
23100,0.44
23200,0.12
23300,-0.2
23400,0.16
23500,0.12
23600,0.24
23700,-0.2
23800,-0.12
23900,0.16
24000,-0.04
24100,-0.04
24200,-0.44
24300,0.04
24400,-0.04
24500,0.04
24600,0.16
24700,-0.12
24800,0.12
24900,0.2
25000,0.08
25100,-0.12
25200,0.24
25300,-0.32
25400,0.0
25500,0.4
25600,0.0
25700,0.28
25800,0.04
25900,0.04
26000,-0.28
26100,0.28
26200,-0.08
26300,0.0
26400,-0.32
26500,-0.12
26600,0.2
26700,-0.16
26800,-0.08
26900,-0.16
27000,-0.44
27100,0.12
27200,-0.16
27300,0.28
27400,0.16
27500,-0.32
27600,-0.08
27700,-0.28
27800,-0.2
27900,0.28
28000,0.04
28100,-0.08
28200,0.04
28300,0.08
28400,0.08
28500,-0.16
28600,-0.12
28700,-0.24
28800,0.0
28900,-0.28
29000,-0.24
29100,0.12
29200,-0.04
29300,-0.12
29400,0.12
29500,-0.24
29600,0.16
29700,0.12
29800,0.08
29900,0.2
30000,-0.32
30100,0.04
30200,-0.28
30300,-0.16
30400,0.28
30500,-0.04
30600,0.2
30700,-0.08
30800,-0.08
30900,-0.28
31000,0.16
