episode,reward
0,1.4
100,1.16
200,1.62
300,-0.3
400,0.14
500,-0.96
600,0.54
700,0.68
800,0.8
900,0.6
1000,1.04
1100,0.78
1200,1.24
1300,1.38
1400,1.16
1500,1.54
1600,0.4
1700,1.22
1800,0.86
1900,1.44
2000,1.64
2100,1.14
2200,-0.2
2300,0.16
2400,1.9
2500,1.42
2600,0.52
2700,1.88
2800,0.42
2900,-0.1
3000,0.5
3100,0.0
3200,0.1
3300,-0.1
3400,0.18
3500,0.88
3600,0.88
3700,-0.74
3800,0.34
3900,0.54
4000,0.28
4100,1.12
4200,0.18
4300,0.4
4400,0.92
4500,0.3
4600,0.8
4700,1.14
4800,0.72
4900,-0.78
5000,0.62
5100,0.7
5200,0.74
5300,0.34
5400,1.62
5500,1.0
5600,0.74
5700,1.42
5800,0.82
5900,0.98
6000,1.24
6100,1.08
6200,0.7
6300,0.54
6400,0.42
6500,1.54
6600,1.28
6700,0.6
6800,0.36
6900,0.56
7000,0.66
7100,0.0
7200,0.96
7300,0.58
7400,1.08
7500,1.8
7600,-0.22
7700,0.84
7800,1.68
7900,-0.02
8000,1.46
8100,1.86
8200,0.8
8300,0.58
8400,1.12
8500,0.28
8600,0.84
8700,0.08
8800,-0.62
8900,0.4
9000,0.7
9100,0.62
9200,1.44
9300,1.3
9400,1.16
9500,-0.02
9600,1.76
9700,-0.36
9800,0.28
9900,1.72
10000,1.24
10100,0.5
10200,0.78
10300,0.16
10400,0.54
10500,1.32
10600,0.3
10700,1.48
10800,-0.12
10900,0.82
11000,1.06
11100,0.86
11200,0.14
11300,0.74
11400,1.16
11500,0.88
11600,0.96
11700,0.7
11800,0.54
11900,0.94
12000,0.74
12100,-0.2
12200,1.1
12300,0.66
12400,0.42
12500,0.02
12600,0.6
12700,-0.76
12800,1.24
12900,0.5
13000,1.46
13100,0.72
13200,-0.12
13300,0.24
13400,0.5
13500,1.04
13600,0.46
13700,0.8
13800,0.22
13900,0.88
14000,0.3
14100,0.46
14200,0.64
14300,-0.02
14400,0.96
14500,0.58
14600,0.9
14700,0.04
14800,0.42
14900,0.94
15000,-0.08
15100,0.8
15200,0.26
15300,-0.08
15400,0.88
15500,-0.02
15600,1.38
15700,1.58
15800,0.4
15900,0.84
16000,0.92
16100,1.7
16200,1.12
16300,1.46
16400,0.74
16500,-0.5
16600,0.5
16700,0.56
16800,0.86
16900,-0.12
17000,1.62
17100,-0.3
17200,0.8
17300,1.06
17400,-0.1
17500,0.18
17600,1.58
17700,0.36
17800,1.38
17900,-0.64
18000,0.56
18100,0.78
18200,0.04
18300,-0.44
18400,0.62
18500,1.2
18600,0.62
18700,0.38
18800,0.26
18900,0.58
19000,0.56
19100,1.18
19200,1.22
19300,0.6
19400,0.56
19500,0.8
19600,0.2
19700,1.32
19800,0.22
19900,1.66
20000,0.48
20100,1.04
20200,1.34
20300,0.34
20400,0.24
20500,0.86
20600,1.62
20700,0.78
20800,-0.2
20900,0.24
21000,-0.2
21100,0.36
21200,0.54
21300,0.46
21400,0.5
21500,0.76
21600,0.44
21700,1.02
21800,0.44
21900,0.56
22000,0.54
22100,1.24
22200,1.92
22300,1.4
22400,0.38
22500,1.66
22600,1.28
22700,0.42
22800,0.46
22900,-0.22
23000,-0.22
23100,-0.04
23200,1.04
23300,0.36
23400,0.2
23500,0.6
23600,1.08
23700,0.44
23800,1.3
23900,1.84
24000,0.04
24100,1.14
24200,0.34
24300,1.0
24400,1.34
24500,1.2
24600,0.7
24700,0.38
24800,1.68
24900,0.88
25000,0.92
25100,0.68
25200,1.5
25300,1.06
25400,0.4
25500,0.6
25600,0.62
25700,0.08
25800,-0.06
25900,0.62
26000,-0.04
26100,0.14
26200,0.88
26300,1.4
26400,0.58
26500,1.04
26600,0.02
26700,0.52
26800,0.22
26900,-0.26
27000,0.92
27100,2.24
27200,1.16
27300,0.34
27400,0.18
27500,0.74
27600,-0.02
27700,0.7
27800,0.52
27900,0.28
28000,1.74
28100,0.96
28200,-0.02
28300,1.2
28400,0.42
28500,0.5
28600,0.96
28700,1.38
28800,1.24
28900,1.62
29000,0.58
29100,1.32
29200,0.76
29300,0.32
29400,1.18
29500,1.1
29600,0.74
29700,1.34
29800,0.34
29900,0.64
