episode,reward
0,-0.52
100,-0.34
200,-0.76
300,0.16
400,0.68
500,-0.12
600,0.7
700,1.26
800,0.28
900,2.68
1000,1.6
1100,-0.34
1200,1.68
1300,1.86
1400,2.14
1500,2.56
1600,1.76
1700,2.0
1800,2.38
1900,2.74
2000,3.32
2100,2.78
2200,1.8
2300,3.74
2400,1.82
2500,1.48
2600,1.8
2700,2.1
2800,1.62
2900,3.04
3000,3.42
3100,2.1
3200,3.3
3300,3.7
3400,2.68
3500,2.86
3600,4.0
3700,2.3
3800,2.2
3900,1.64
4000,0.86
4100,2.68
4200,1.88
4300,3.7
4400,2.18
4500,2.24
4600,2.1
4700,2.74
4800,2.02
4900,2.9
5000,3.88
5100,1.66
5200,1.26
5300,2.78
5400,1.92
5500,3.3
5600,3.8
5700,2.26
5800,1.7
5900,2.62
6000,2.82
6100,2.02
6200,3.08
6300,3.24
6400,1.42
6500,3.28
6600,0.0
6700,3.74
6800,2.8
6900,1.66
7000,1.38
7100,1.44
7200,2.26
7300,2.98
7400,2.38
7500,2.94
7600,3.08
7700,4.22
7800,3.24
7900,2.42
8000,2.18
8100,2.44
8200,1.06
8300,2.34
8400,3.42
8500,3.02
8600,2.54
8700,1.46
8800,2.2
8900,2.94
9000,2.74
9100,2.24
9200,2.94
9300,2.28
9400,1.92
9500,2.02
9600,2.06
9700,3.26
9800,2.68
9900,2.28
10000,2.34
10100,2.76
10200,2.92
10300,2.76
10400,3.22
10500,2.14
10600,2.74
10700,1.64
10800,3.72
10900,1.7
11000,2.76
11100,2.82
11200,2.8
11300,3.12
11400,4.02
11500,3.04
11600,1.96
11700,3.06
11800,2.06
11900,2.9
12000,1.78
12100,1.92
12200,1.68
12300,3.14
12400,2.1
12500,3.9
12600,4.2
12700,1.98
12800,3.28
12900,1.28
13000,2.8
13100,2.08
13200,2.62
13300,3.56
13400,3.74
13500,2.26
13600,4.78
13700,2.52
13800,1.86
13900,2.22
14000,1.82
14100,2.28
14200,4.06
14300,2.62
14400,1.8
14500,2.34
14600,3.4
14700,3.02
14800,2.86
14900,4.2
15000,3.76
15100,2.18
15200,3.02
15300,2.24
15400,2.7
15500,2.92
15600,3.28
15700,2.6
15800,4.64
15900,2.9
16000,1.62
16100,3.86
16200,1.78
16300,3.04
16400,3.16
16500,3.3
16600,3.56
16700,2.98
16800,2.74
16900,3.58
17000,1.44
17100,2.12
17200,2.46
17300,2.76
17400,2.96
17500,3.18
17600,2.92
17700,2.52
17800,1.82
17900,3.02
18000,2.8
18100,3.3
18200,3.3
18300,2.8
18400,3.2
18500,3.58
18600,3.52
18700,2.72
18800,4.12
18900,2.64
19000,3.58
19100,2.74
19200,3.72
19300,2.38
19400,2.24
19500,2.7
19600,2.9
19700,3.4
19800,3.12
19900,2.64
20000,4.42
20100,2.5
20200,3.84
20300,2.46
20400,1.52
20500,3.86
20600,2.9
20700,3.62
20800,3.1
20900,1.42
21000,2.18
21100,2.62
21200,2.88
21300,2.02
21400,2.92
21500,3.64
21600,1.6
21700,3.28
21800,1.46
21900,2.16
22000,3.26
22100,2.48
22200,2.32
22300,2.62
22400,1.94
22500,3.72
22600,3.0
22700,3.44
22800,4.12
22900,3.62
23000,4.46
23100,1.7
23200,2.62
23300,3.46
23400,1.66
23500,2.74
23600,3.22
23700,3.56
23800,2.76
23900,2.46
24000,1.42
24100,2.74
24200,3.92
24300,2.42
24400,1.98
24500,3.4
24600,3.48
24700,2.8
24800,2.58
24900,3.66
25000,2.44
25100,3.06
25200,2.28
25300,2.82
25400,1.98
25500,2.64
25600,2.74
25700,2.44
25800,1.32
25900,1.98
26000,2.96
26100,2.0
26200,2.74
26300,4.26
26400,1.68
26500,1.7
26600,1.6
26700,2.58
26800,2.72
26900,2.32
27000,3.02
27100,3.06
27200,3.22
27300,2.66
27400,2.32
27500,3.2
27600,4.2
27700,0.66
27800,1.7
27900,4.08
28000,2.28
28100,2.64
28200,1.94
28300,3.62
28400,2.82
28500,2.46
28600,2.44
28700,2.58
28800,2.58
28900,3.28
29000,3.2
29100,2.12
29200,2.66
29300,0.38
29400,2.42
29500,2.94
29600,3.44
29700,2.7
29800,1.24
29900,4.12
30000,1.58
30100,3.16
30200,3.6
30300,1.94
30400,2.76
30500,1.78
30600,2.42
30700,0.04
30800,3.14
30900,3.0
31000,2.54
31100,3.82
31200,3.08
31300,2.56
31400,2.76
31500,1.58
31600,3.02
31700,1.62
31800,1.8
31900,3.46
32000,3.54
32100,1.96
32200,2.38
32300,2.58
32400,2.84
32500,2.08
32600,1.58
32700,3.48
32800,1.86
32900,3.06
33000,3.88
33100,1.92
33200,4.14
33300,1.5
33400,2.76
33500,3.54
33600,1.6
33700,2.58
33800,2.3
33900,2.74
34000,1.12
34100,2.96
34200,2.16
34300,3.62
34400,1.96
34500,2.54
34600,2.92
34700,2.32
34800,2.6
34900,1.52
35000,2.36
35100,2.46
35200,2.2
35300,3.02
35400,2.6
35500,2.26
35600,2.7
35700,2.28
35800,2.4
35900,2.9
36000,2.04
36100,3.34
36200,2.4
36300,3.58
36400,2.66
36500,2.48
36600,2.66
36700,3.0
36800,3.12
36900,1.56
37000,1.44
37100,2.86
37200,2.22
37300,2.84
37400,2.22
37500,2.26
37600,3.4
37700,2.5
37800,2.58
37900,1.82
38000,3.3
38100,2.9
38200,2.2
38300,2.36
38400,3.44
38500,1.9
38600,2.5
38700,3.38
38800,3.3
38900,2.74
39000,2.66
39100,2.56
39200,2.38
39300,3.06
39400,2.34
39500,3.96
39600,1.8
39700,2.06
39800,2.76
39900,2.56
40000,2.02
40100,2.32
40200,3.6
40300,4.0
40400,3.34
40500,2.44
40600,2.34
40700,2.06
40800,1.24
40900,3.6
41000,2.16
41100,3.58
41200,2.76
41300,3.46
41400,3.22
41500,3.54
41600,2.92
41700,2.18
41800,2.82
41900,0.78
42000,3.12
42100,2.48
42200,1.38
42300,1.6
42400,3.36
42500,1.58
42600,1.76
42700,2.88
42800,3.02
42900,3.04
43000,1.7
43100,2.72
43200,3.26
43300,2.34
43400,2.96
43500,3.32
43600,3.22
43700,2.06
43800,1.66
43900,2.94
44000,2.82
44100,2.66
44200,2.96
44300,1.56
44400,2.8
44500,4.46
44600,2.54
44700,2.02
44800,2.74
44900,2.78
45000,2.68
45100,3.42
45200,2.62
45300,2.0
45400,3.94
45500,1.68
45600,3.96
45700,2.88
45800,2.32
45900,2.9
46000,2.12
46100,2.78
46200,3.28
46300,1.78
46400,2.26
46500,3.46
46600,2.18
46700,2.26
46800,3.0
46900,2.46
47000,2.22
47100,1.38
47200,2.96
47300,2.82
47400,2.36
47500,2.9
47600,1.96
47700,3.38
47800,3.14
47900,2.46
48000,2.76
48100,3.04
48200,2.52
48300,1.78
48400,3.34
48500,3.24
48600,3.24
48700,2.92
48800,3.78
48900,1.66
49000,3.0
49100,2.7
49200,2.8
49300,4.02
49400,2.82
49500,1.18
49600,1.96
49700,2.48
49800,2.34
49900,2.84
