episode,reward
0,1.08
100,-4.62
200,-1.3
300,-3.88
400,-12.52
500,5.62
600,-1.78
700,-2.58
800,-2.32
900,2.92
1000,12.36
1100,10.06
1200,0.54
1300,13.96
1400,4.74
1500,-8.4
1600,-16.98
1700,-5.44
1800,-6.02
1900,1.98
2000,-6.14
2100,3.96
2200,-8.36
2300,2.62
2400,-5.14
2500,-6.72
2600,-1.52
2700,-5.66
2800,2.6
2900,-4.16
3000,-2.08
3100,-2.92
3200,3.26
3300,-7.14
3400,-1.94
3500,-0.5
3600,12.6
3700,-4.4
3800,3.78
3900,1.32
4000,6.66
4100,-4.88
4200,10.44
4300,-2.9
4400,-3.88
4500,-0.36
4600,-0.32
4700,-0.52
4800,-4.34
4900,-7.88
5000,-0.96
5100,-5.52
5200,7.12
5300,-3.84
5400,3.48
5500,-8.84
5600,-5.98
5700,10.58
5800,0.04
5900,-7.94
6000,6.64
6100,0.18
6200,4.7
6300,-1.0
6400,1.82
6500,1.04
6600,1.52
6700,0.44
6800,0.32
6900,-4.02
7000,1.36
7100,0.58
7200,-4.08
7300,-9.96
7400,-14.92
7500,5.06
7600,-6.08
7700,-7.08
7800,1.22
7900,-2.3
8000,-2.72
8100,-5.14
8200,3.48
8300,4.5
8400,4.2
8500,6.34
8600,-10.1
8700,-2.02
8800,3.0
8900,5.44
9000,5.46
9100,-3.7
9200,-6.58
9300,-6.3
9400,-6.56
9500,-3.56
9600,-0.58
9700,-10.88
9800,-19.0
9900,-6.34
10000,5.74
10100,0.12
10200,0.38
10300,-6.06
10400,7.92
10500,3.5
10600,6.62
10700,-3.94
10800,5.46
10900,-12.94
11000,12.14
11100,-1.54
11200,-1.92
11300,7.94
11400,-3.72
11500,6.06
11600,4.2
11700,-1.76
11800,-2.2
11900,-6.58
12000,7.88
12100,-2.72
12200,1.98
12300,0.88
12400,12.2
12500,-0.06
12600,-8.32
12700,0.18
12800,-4.8
12900,-1.76
13000,2.6
13100,-1.26
13200,-7.06
13300,3.42
13400,-8.22
13500,13.12
13600,1.94
13700,-3.88
13800,9.72
13900,5.62
14000,4.56
14100,2.3
14200,-5.74
14300,8.3
14400,-0.1
14500,-6.88
14600,-9.98
14700,14.38
14800,3.44
14900,-2.38
15000,3.0
15100,2.86
15200,1.46
15300,1.9
15400,4.38
15500,6.88
15600,22.52
15700,-4.16
15800,-2.66
15900,-2.44
16000,5.56
16100,-5.02
16200,-4.26
16300,-4.44
16400,3.18
16500,-5.84
16600,3.36
16700,3.94
16800,13.16
16900,9.2
17000,4.78
17100,-1.88
17200,2.6
17300,-8.16
17400,4.98
17500,-2.88
17600,3.7
17700,-12.96
17800,-23.54
17900,7.8
18000,8.8
18100,-5.4
18200,-2.06
18300,-1.16
18400,2.42
18500,5.26
18600,-13.74
18700,-4.76
18800,-2.14
18900,-7.48
19000,-8.0
19100,1.82
19200,-2.64
19300,4.84
19400,1.22
19500,1.64
19600,6.14
19700,3.7
19800,-1.56
19900,-9.98
20000,1.86
20100,-1.94
20200,15.14
20300,7.24
20400,-1.08
20500,7.38
