episode,reward
0,-28.88
1000,-1.92
2000,14.36
3000,0.96
4000,-10.08
5000,1.36
6000,12.84
7000,21.36
8000,5.12
9000,22.92
10000,15.84
11000,-3.92
12000,17.24
13000,0.24
14000,6.44
15000,-26.84
16000,40.48
17000,-7.32
18000,-20.32
19000,1.92
20000,7.44
21000,11.24
22000,7.08
23000,8.64
24000,6.56
25000,-14.56
26000,-15.68
27000,23.6
28000,20.36
29000,13.12
30000,18.12
31000,-5.48
32000,16.96
33000,7.36
34000,-0.6
35000,12.8
36000,-1.36
37000,8.12
38000,-2.72
39000,-22.12
40000,13.0
41000,-29.36
42000,12.08
43000,-7.2
44000,-21.84
45000,-1.0
46000,25.52
47000,9.08
48000,-8.84
49000,7.84
50000,18.72
51000,9.64
52000,2.8
53000,12.56
54000,5.52
55000,-1.32
56000,14.0
57000,-6.64
58000,4.56
59000,-16.08
60000,6.56
61000,-3.84
62000,3.24
63000,16.68
64000,-15.4
65000,9.08
66000,5.32
67000,11.08
68000,-7.0
69000,-16.04
70000,2.6
71000,9.84
72000,11.56
73000,53.36
74000,-1.8
75000,28.16
76000,-18.28
77000,8.88
78000,-10.88
79000,16.16
80000,2.44
81000,13.16
82000,7.52
83000,29.28
84000,-19.76
85000,0.12
86000,10.32
87000,22.04
88000,9.8
89000,31.88
90000,10.8
91000,8.84
92000,6.28
93000,11.64
94000,15.88
95000,-11.6
96000,-3.52
97000,-0.6
98000,-9.4
99000,18.84
