episode,reward
0,2.035
100,3.5645
200,1.901
300,1.6405
400,2.9295
500,2.0615
600,2.26
700,3.24
800,0.117
900,2.4805
1000,1.534
1100,1.2375
1200,0.035
1300,2.8615
1400,4.014
1500,-0.329
1600,2.508
1700,3.495
1800,1.1925
1900,0.9105
2000,1.501
2100,3.6355
2200,0.4005
2300,0.7215
2400,3.3135
2500,3.301
2600,2.1965
2700,1.983
2800,0.175
2900,1.795
3000,0.774
3100,0.7885
3200,2.4795
3300,5.843
3400,3.3265
3500,3.181
3600,1.621
3700,1.7385
3800,3.7865
3900,1.2395
4000,5.781
4100,3.499
4200,0.9665
4300,2.57
4400,3.345
4500,4.869
4600,1.1275
4700,2.377
4800,2.9245
4900,3.0575
5000,2.5775
5100,3.03
5200,2.3255
5300,2.135
5400,3.8585
5500,3.2375
5600,3.6205
5700,3.611
5800,0.523
5900,2.163
6000,1.487
6100,1.1185
6200,3.451
6300,2.417
6400,1.395
6500,1.7275
6600,4.511
6700,2.7935
6800,0.79
6900,4.1255
7000,3.224
7100,2.022
7200,0.0615
7300,3.687
7400,2.8925
7500,5.5545
7600,3.753
7700,4.8435
7800,3.1995
7900,3.7505
8000,5.706
8100,2.82
8200,2.502
8300,3.387
8400,2.5825
8500,2.7315
8600,4.194
8700,6.558
8800,3.762
8900,3.795
9000,4.911
9100,5.184
9200,1.42
9300,3.839
9400,3.3745
9500,3.356
9600,3.893
9700,2.822
9800,5.572
9900,6.4685
10000,2.0595
10100,4.775
10200,6.951
10300,4.956
10400,6.2725
10500,3.318
10600,6.1685
10700,4.875
10800,5.3785
10900,3.1405
11000,4.1965
11100,2.4575
11200,6.453
11300,4.739
11400,4.054
11500,4.183
11600,5.3855
11700,4.3435
11800,0.3735
11900,3.0535
12000,7.4975
12100,4.4335
12200,3.5715
12300,5.638
12400,6.191
12500,5.055
12600,7.394
12700,3.9715
12800,6.839
12900,4.3185
13000,3.658
13100,5.808
13200,5.0155
13300,4.239
13400,7.5295
13500,6.693
13600,2.7175
13700,5.4245
13800,7.67
13900,5.7795
14000,5.9295
14100,4.107
14200,5.84
14300,5.3135
14400,5.2005
14500,5.1785
14600,6.074
14700,4.4035
14800,4.9035
14900,5.809
15000,6.843
15100,4.621
15200,5.2905
15300,5.323
15400,7.022
15500,6.1565
15600,4.47
15700,6.5185
15800,4.462
15900,5.9015
16000,6.787
16100,4.1925
16200,5.3965
16300,5.781
16400,6.797
16500,5.869
16600,5.935
16700,3.56
16800,6.594
16900,5.0555
17000,3.821
17100,6.459
17200,5.643
17300,8.0185
17400,5.854
17500,5.717
17600,3.029
17700,5.7615
17800,6.34
17900,7.7585
18000,5.02
18100,5.353
18200,5.964
18300,5.3655
18400,6.063
18500,8.249
18600,6.458
18700,4.085
18800,5.534
18900,6.6715
19000,6.0885
19100,3.116
19200,4.2345
19300,6.2615
19400,6.7465
19500,8.468
19600,7.4415
19700,5.4725
19800,4.555
19900,4.716
20000,4.1145
20100,4.5285
20200,5.6875
20300,6.641
20400,6.56
20500,4.704
20600,3.551
20700,6.1165
20800,7.399
20900,5.117
21000,5.355
21100,4.25
21200,7.145
21300,5.2985
21400,4.3285
21500,5.721
21600,9.683
21700,4.502
21800,7.1815
21900,6.289
22000,3.806
22100,5.3985
22200,5.484
22300,6.719
22400,6.745
22500,8.814
22600,6.92
22700,6.517
22800,7.1635
22900,6.142
23000,6.6235
23100,6.408
23200,6.6005
23300,6.835
23400,4.9605
23500,6.2495
23600,5.746
23700,5.1
23800,6.729
23900,3.914
24000,6.3585
24100,7.518
24200,6.954
24300,2.0695
24400,6.818
24500,6.284
24600,3.5495
24700,4.235
24800,5.3655
24900,3.3685
25000,5.3425
25100,3.386
25200,7.272
25300,4.169
25400,4.7635
25500,5.6235
25600,4.058
25700,7.9515
25800,5.4005
25900,5.917
26000,3.5885
26100,7.9965
26200,6.568
26300,4.1875
26400,8.8265
26500,7.2965
26600,6.5135
26700,7.7595
26800,6.2435
26900,4.401
27000,6.018
27100,5.714
27200,6.979
27300,4.939
27400,6.0145
27500,5.1485
27600,5.1575
27700,5.429
27800,5.1465
27900,4.1425
28000,4.3605
28100,5.192
28200,6.068
28300,6.3715
28400,4.308
28500,5.653
28600,5.0
28700,6.023
28800,5.3275
28900,5.6905
29000,4.8065
29100,4.484
29200,6.6275
29300,6.7295
29400,6.53
29500,5.8295
29600,6.0415
29700,6.8515
29800,5.4205
29900,6.225
30000,7.5675
30100,6.1175
30200,7.726
30300,6.5785
30400,5.1145
30500,4.9605
30600,6.018
30700,6.2405
30800,7.7185
30900,7.6685
31000,10.0495
31100,6.7205
31200,6.5165
31300,6.415
31400,4.5285
31500,5.0935
31600,3.7755
31700,5.277
31800,4.8255
31900,6.955
32000,5.3115
32100,6.7635
32200,4.698
32300,3.6105
32400,2.942
32500,2.6965
32600,6.6645
32700,7.584
32800,8.266
32900,6.582
33000,5.0425
33100,6.051
33200,4.433
33300,7.3855
33400,3.5275
33500,6.1625
33600,5.6005
33700,5.5585
33800,7.02
33900,5.455
34000,5.857
34100,7.8655
34200,4.7095
34300,6.6555
34400,4.2715
34500,4.9685
34600,6.1175
34700,6.7925
34800,4.381
34900,5.895
35000,6.6035
35100,1.904
35200,5.504
35300,8.016
35400,8.162
35500,4.6475
35600,3.685
35700,7.6595
35800,5.124
35900,3.0825
36000,5.489
36100,5.208
36200,6.828
36300,5.6105
36400,7.3225
36500,5.9815
36600,6.157
36700,5.245
36800,5.421
36900,5.7635
37000,7.481
37100,7.663
37200,3.9735
37300,7.011
37400,5.586
37500,6.605
37600,5.287
37700,6.2825
37800,3.2135
37900,4.1455
38000,8.9385
38100,5.3135
38200,5.84
38300,3.8705
38400,5.8965
38500,6.0875
38600,6.032
38700,5.8375
38800,6.837
38900,4.62
39000,4.482
39100,7.0815
39200,5.8225
39300,2.966
39400,6.137
39500,7.231
39600,6.205
39700,6.7255
